ID,ID V 4.0,ID SwissFIR,name D,synonyms D,name F,synonyms F,name I,synonyms I,name E,synonyms E,category D,category F,category I,category E,specific gravity,energy kJ,unit,matrix unit,value type,source,energy kcal,unit,matrix unit,value type,source,protein,unit,matrix unit,value type,source,alcohol,unit,matrix unit,value type,source,water,unit,matrix unit,value type,source,"carbohydrates, available",unit,matrix unit,value type,source,starch,unit,matrix unit,value type,source,sugars,unit,matrix unit,value type,source,dietary fibres,unit,matrix unit,value type,source,"fat, total",unit,matrix unit,value type,source,cholesterol,unit,matrix unit,value type,source,"fatty acids, monounsaturated",unit,matrix unit,value type,source,"fatty acids, saturated",unit,matrix unit,value type,source,"fatty acids, polyunsaturated",unit,matrix unit,value type,source,vitamin A activity,unit,matrix unit,value type,source,all-trans retinol equivalents,unit,matrix unit,value type,source,beta-carotene activity,unit,matrix unit,value type,source,beta-carotene,unit,matrix unit,value type,source,vitamin B1 (thiamine),unit,matrix unit,value type,source,vitamin B2 (riboflavin),unit,matrix unit,value type,source,vitamin B6 (pyridoxine),unit,matrix unit,value type,source,vitamin B12 (cobalamin),unit,matrix unit,value type,source,niacin,unit,matrix unit,value type,source,folate,unit,matrix unit,value type,source,pantothenic acid,unit,matrix unit,value type,source,vitamin C (ascorbic acid),unit,matrix unit,value type,source,vitamin D (calciferol),unit,matrix unit,value type,source,vitamin E activity,unit,matrix unit,value type,source,sodium (Na),unit,matrix unit,value type,source,potassium (K),unit,matrix unit,value type,source,chloride (Cl),unit,matrix unit,value type,source,calcium (Ca),unit,matrix unit,value type,source,magnesium (Mg),unit,matrix unit,value type,source,phosphorus (P),unit,matrix unit,value type,source,iron (Fe),unit,matrix unit,value type,source,iodide (I),unit,matrix unit,value type,source,zinc (Zn),unit,matrix unit,value type,source,record has changed


377,4118,1000840,"Ananas, roh",,"Ananas, cru",,"Ananas, crudo",,"Pineapple, fresh",,Früchte/Früchte frisch,Fruits/Fruits frais,Frutta/Frutta fresca,Fruit/Fresh fruit,,220,kilojoule,per 100g edible portion,weighted,Computed value,55,kilocalorie,per 100g edible portion,weighted,Computed value,0.4,gram,per 100g edible portion,weighted,43,0,gram,per 100g edible portion,weighted,43,86.5,gram,per 100g edible portion,weighted,43,11,gram,per 100g edible portion,weighted,43,0,gram,per 100g edible portion,weighted,43,11.3,gram,per 100g edible portion,weighted,43,1.4,gram,per 100g edible portion,weighted,43,0,gram,per 100g edible portion,weighted,1008,0,milligram,per 100g edible portion,weighted,43,0,gram,per 100g edible portion,weighted,1008,0,gram,per 100g edible portion,weighted,1008,0.1,gram,per 100g edible portion,weighted,43,5,retinol equivalent,per 100g edible portion,weighted,51,0,retinol equivalent,per 100g edible portion,weighted,51,56,beta-carotene equivalent,per 100g edible portion,weighted,51,56,microgram,per 100g edible portion,weighted,164,0.08,milligram,per 100g edible portion,weighted,43,0.03,milligram,per 100g edible portion,weighted,43,0.09,milligram,per 100g edible portion,weighted,43,0,microgram,per 100g edible portion,weighted,43,0.3,milligram,per 100g edible portion,weighted,43,14,microgram,per 100g edible portion,weighted,43,0.2,milligram,per 100g edible portion,weighted,43,18,milligram,per 100g edible portion,weighted,43,0,microgram,per 100g edible portion,weighted,43,0.1,alpha-tocopherol equivalent,per 100g edible portion,weighted,43,2,milligram,per 100g edible portion,weighted,43,150,milligram,per 100g edible portion,weighted,43,39,milligram,per 100g edible portion,weighted,36,15,milligram,per 100g edible portion,weighted,43,15,milligram,per 100g edible portion,weighted,43,11,milligram,per 100g edible portion,weighted,43,0.3,milligram,per 100g edible portion,weighted,43,1.4,microgram,per 100g edible portion,weighted,1007,0.1,milligram,per 100g edible portion,weighted,36,TRUE
378,4480,1000841,"Apfel, roh",,"Pomme, crue",,"Mela, cruda",,"Apple, fresh",,Früchte/Früchte frisch,Fruits/Fruits frais,Frutta/Frutta fresca,Fruit/Fresh fruit,,240,kilojoule,per 100g edible portion,weighted,Computed value,55,kilocalorie,per 100g edible portion,weighted,Computed value,0.3,gram,per 100g edible portion,weighted,43,0,gram,per 100g edible portion,weighted,43,85,gram,per 100g edible portion,weighted,43,12,gram,per 100g edible portion,weighted,43,0.1,gram,per 100g edible portion,weighted,43,11.6,gram,per 100g edible portion,weighted,43,2.1,gram,per 100g edible portion,weighted,43,0,gram,per 100g edible portion,weighted,43,0,milligram,per 100g edible portion,weighted,43,0,gram,per 100g edible portion,weighted,43,0.1,gram,per 100g edible portion,weighted,43,0.1,gram,per 100g edible portion,weighted,43,2,retinol equivalent,per 100g edible portion,weighted,51,0,retinol equivalent,per 100g edible portion,weighted,51,26,beta-carotene equivalent,per 100g edible portion,weighted,51,20,microgram,per 100g edible portion,weighted,121,0.03,milligram,per 100g edible portion,weighted,43,0.02,milligram,per 100g edible portion,weighted,43,0.05,milligram,per 100g edible portion,weighted,43,0,microgram,per 100g edible portion,weighted,43,0.1,milligram,per 100g edible portion,weighted,43,13,microgram,per 100g edible portion,weighted,43,0.1,milligram,per 100g edible portion,weighted,43,5,milligram,per 100g edible portion,weighted,43,0,microgram,per 100g edible portion,weighted,43,0.5,alpha-tocopherol equivalent,per 100g edible portion,weighted,43,4,milligram,per 100g edible portion,weighted,43,120,milligram,per 100g edible portion,weighted,43,2.2,milligram,per 100g edible portion,weighted,36,5,milligram,per 100g edible portion,weighted,43,4,milligram,per 100g edible portion,weighted,43,9,milligram,per 100g edible portion,weighted,43,0.2,milligram,per 100g edible portion,weighted,43,0.8,microgram,per 100g edible portion,weighted,36,0.1,milligram,per 100g edible portion,weighted,36,TRUE
379,3629,1000842,"Aprikose, roh",Marille,"Abricot, cru",,"Albicocca, cruda",,"Apricot, raw",,Früchte/Früchte frisch,Fruits/Fruits frais,Frutta/Frutta fresca,Fruit/Fresh fruit,,210,kilojoule,per 100g edible portion,weighted,Computed value,50,kilocalorie,per 100g edible portion,weighted,Computed value,0.8,gram,per 100g edible portion,weighted,43,0,gram,per 100g edible portion,weighted,43,86.7,gram,per 100g edible portion,weighted,43,10,gram,per 100g edible portion,weighted,43,0,gram,per 100g edible portion,weighted,43,10,gram,per 100g edible portion,weighted,43,2.1,gram,per 100g edible portion,weighted,43,0,gram,per 100g edible portion,weighted,43,0,milligram,per 100g edible portion,weighted,43,0,gram,per 100g edible portion,weighted,43,0,gram,per 100g edible portion,weighted,43,0,gram,per 100g edible portion,weighted,43,167,retinol equivalent,per 100g edible portion,weighted,1530,0,retinol equivalent,per 100g edible portion,weighted,51,2000,beta-carotene equivalent,per 100g edible portion,weighted,1530,2000,microgram,per 100g edible portion,weighted,124;105,0.04,milligram,per 100g edible portion,weighted,43,0.05,milligram,per 100g edible portion,weighted,43,0.07,milligram,per 100g edible portion,weighted,43,0,microgram,per 100g edible portion,weighted,43,0.6,milligram,per 100g edible portion,weighted,43,7,microgram,per 100g edible portion,weighted,43,0.3,milligram,per 100g edible portion,weighted,43,7,milligram,per 100g edible portion,weighted,43,0,microgram,per 100g edible portion,weighted,43,0.7,alpha-tocopherol equivalent,per 100g edible portion,weighted,43,2,milligram,per 100g edible portion,weighted,43,320,milligram,per 100g edible portion,weighted,43,1,milligram,per 100g edible portion,weighted,36,16,milligram,per 100g edible portion,weighted,43,10,milligram,per 100g edible portion,weighted,43,20,milligram,per 100g edible portion,weighted,43,0.4,milligram,per 100g edible portion,weighted,43,0.5,microgram,per 100g edible portion,weighted,36,0.1,milligram,per 100g edible portion,weighted,36,TRUE
349,4014,1000810,"Aubergine, roh",Eierfrucht,"Aubergine, crue",,"Melanzana, cruda",,"Eggplant, raw",,Gemüse/Gemüse frisch,Légumes/Légumes frais,Verdure/Verdure fresche,Vegetables/Fresh vegetables,,100,kilojoule,per 100g edible portion,weighted,Computed value,25,kilocalorie,per 100g edible portion,weighted,Computed value,1,gram,per 100g edible portion,weighted,43,0,gram,per 100g edible portion,weighted,43,92.7,gram,per 100g edible portion,weighted,43,3,gram,per 100g edible portion,weighted,43,0.3,gram,per 100g edible portion,weighted,43,2.8,gram,per 100g edible portion,weighted,43,2.4,gram,per 100g edible portion,weighted,43,0,gram,per 100g edible portion,weighted,43,0,milligram,per 100g edible portion,weighted,43,0,gram,per 100g edible portion,weighted,1008,0,gram,per 100g edible portion,weighted,1008,0.1,gram,per 100g edible portion,weighted,1008,4,retinol equivalent,per 100g edible portion,weighted,51,0,retinol equivalent,per 100g edible portion,weighted,51,50,beta-carotene equivalent,per 100g edible portion,weighted,51,50,microgram,per 100g edible portion,weighted,131,0.04,milligram,per 100g edible portion,weighted,43,0.03,milligram,per 100g edible portion,weighted,43,0.08,milligram,per 100g edible portion,weighted,43,0,microgram,per 100g edible portion,weighted,43,0.6,milligram,per 100g edible portion,weighted,43,19,microgram,per 100g edible portion,weighted,43,0.2,milligram,per 100g edible portion,weighted,43,2,milligram,per 100g edible portion,weighted,43,0,microgram,per 100g edible portion,weighted,43,0.03,alpha-tocopherol equivalent,per 100g edible portion,weighted,43,3,milligram,per 100g edible portion,weighted,43,260,milligram,per 100g edible portion,weighted,43,55,milligram,per 100g edible portion,weighted,36,10,milligram,per 100g edible portion,weighted,43,13,milligram,per 100g edible portion,weighted,43,21,milligram,per 100g edible portion,weighted,43,0.3,milligram,per 100g edible portion,weighted,43,0.2,microgram,per 100g edible portion,weighted,1007,0.1,milligram,per 100g edible portion,weighted,36,TRUE
380,4361,1000843,"Avocado, roh",,"Avocat, cru",,"Avocado, crudo",,"Avocado, fresh",,"Gemüse/Gemüse frisch;Nüsse, Samen und Ölfrüchte","Légumes/Légumes frais;Noix, graines et produits oléagineux","Verdure/Verdure fresche;Noci, semi e frutti oleosi","Vegetables/Fresh vegetables;Nuts, seeds and oleaginous fruit",,600,kilojoule,per 100g edible portion,weighted,Computed value,145,kilocalorie,per 100g edible portion,weighted,Computed value,1.8,gram,per 100g edible portion,weighted,43,0,gram,per 100g edible portion,weighted,43,76.4,gram,per 100g edible portion,weighted,43,1,gram,per 100g edible portion,weighted,43,0,gram,per 100g edible portion,weighted,43,0.8,gram,per 100g edible portion,weighted,43,3,gram,per 100g edible portion,weighted,43,14,gram,per 100g edible portion,weighted,43,0,milligram,per 100g edible portion,weighted,43,8.9,gram,per 100g edible portion,weighted,43,2.9,gram,per 100g edible portion,weighted,43,1.8,gram,per 100g edible portion,weighted,43,8,retinol equivalent,per 100g edible portion,weighted,51,0,retinol equivalent,per 100g edible portion,weighted,51,100,beta-carotene equivalent,per 100g edible portion,weighted,51,67,microgram,per 100g edible portion,weighted,164,0.07,milligram,per 100g edible portion,weighted,43,0.16,milligram,per 100g edible portion,weighted,43,0.28,milligram,per 100g edible portion,weighted,43,0,microgram,per 100g edible portion,weighted,43,2,milligram,per 100g edible portion,weighted,43,54,microgram,per 100g edible portion,weighted,43,0.8,milligram,per 100g edible portion,weighted,43,11,milligram,per 100g edible portion,weighted,43,0,microgram,per 100g edible portion,weighted,43,1.9,alpha-tocopherol equivalent,per 100g edible portion,weighted,43,7,milligram,per 100g edible portion,weighted,43,520,milligram,per 100g edible portion,weighted,43,6,milligram,per 100g edible portion,weighted,36,16,milligram,per 100g edible portion,weighted,43,33,milligram,per 100g edible portion,weighted,43,44,milligram,per 100g edible portion,weighted,43,1,milligram,per 100g edible portion,weighted,43,1,microgram,per 100g edible portion,weighted,36,0.6,milligram,per 100g edible portion,weighted,36,TRUE
381,4479,1000844,"Banane, roh",,"Banane, crue",,"Banana, cruda",,"Banana, raw",,Früchte/Früchte frisch,Fruits/Fruits frais,Frutta/Frutta fresca,Fruit/Fresh fruit,,410,kilojoule,per 100g edible portion,weighted,Computed value,95,kilocalorie,per 100g edible portion,weighted,Computed value,1.1,gram,per 100g edible portion,weighted,43,0,gram,per 100g edible portion,weighted,43,74,gram,per 100g edible portion,weighted,43,21,gram,per 100g edible portion,weighted,43,3.8,gram,per 100g edible portion,weighted,43,17.2,gram,per 100g edible portion,weighted,43,2,gram,per 100g edible portion,weighted,43,0,gram,per 100g edible portion,weighted,43,0,milligram,per 100g edible portion,weighted,43,0,gram,per 100g edible portion,weighted,43,0.1,gram,per 100g edible portion,weighted,43,0.1,gram,per 100g edible portion,weighted,43,9,retinol equivalent,per 100g edible portion,weighted,51,0,retinol equivalent,per 100g edible portion,weighted,51,109,beta-carotene equivalent,per 100g edible portion,weighted,51,77,microgram,per 100g edible portion,weighted,134,0.04,milligram,per 100g edible portion,weighted,43,0.07,milligram,per 100g edible portion,weighted,43,0.47,milligram,per 100g edible portion,weighted,43,0,microgram,per 100g edible portion,weighted,43,0.6,milligram,per 100g edible portion,weighted,43,23,microgram,per 100g edible portion,weighted,43,0.3,milligram,per 100g edible portion,weighted,43,12,milligram,per 100g edible portion,weighted,43,0,microgram,per 100g edible portion,weighted,43,0.29,alpha-tocopherol equivalent,per 100g edible portion,weighted,43,1,milligram,per 100g edible portion,weighted,43,380,milligram,per 100g edible portion,weighted,43,110,milligram,per 100g edible portion,weighted,36,8,milligram,per 100g edible portion,weighted,43,30,milligram,per 100g edible portion,weighted,43,22,milligram,per 100g edible portion,weighted,43,0.4,milligram,per 100g edible portion,weighted,43,2,microgram,per 100g edible portion,weighted,36,0.2,milligram,per 100g edible portion,weighted,36,TRUE
464,4425,1000946,"Basilikum, roh",,"Basilic, cru",,"Basilico, fresco",,"Basil, raw",,Gemüse/Kräuter,Légumes/Herbes aromatiques,Verdure/Erbe aromatiche,Vegetables/Herbs,,200,kilojoule,per 100g edible portion,weighted,Computed value,50,kilocalorie,per 100g edible portion,weighted,Computed value,3.1,gram,per 100g edible portion,weighted,9,0,gram,per 100g edible portion,weighted,9,86.4,gram,per 100g edible portion,weighted,9,5,gram,per 100g edible portion,weighted,9,0.1,gram,per 100g edible portion,weighted,9,5,gram,per 100g edible portion,weighted,9,3.1,gram,per 100g edible portion,weighted,9,1,gram,per 100g edible portion,weighted,9,0,milligram,per 100g edible portion,weighted,9,0,gram,per 100g edible portion,weighted,9,0.1,gram,per 100g edible portion,weighted,9,0.4,gram,per 100g edible portion,weighted,9,405,retinol equivalent,per 100g edible portion,weighted,51,0,retinol equivalent,per 100g edible portion,weighted,51,4870,beta-carotene equivalent,per 100g edible portion,weighted,51,4820,microgram,per 100g edible portion,weighted,125,0.08,milligram,per 100g edible portion,weighted,9,0.31,milligram,per 100g edible portion,weighted,9,0.18,milligram,per 100g edible portion,weighted,9,0,microgram,per 100g edible portion,weighted,9,1.1,milligram,per 100g edible portion,weighted,9,50,microgram,per 100g edible portion,weighted,9,0.2,milligram,per 100g edible portion,weighted,9,26,milligram,per 100g edible portion,weighted,9,0,microgram,per 100g edible portion,weighted,9,1,alpha-tocopherol equivalent,per 100g edible portion,weighted,9,9,milligram,per 100g edible portion,weighted,9,300,milligram,per 100g edible portion,weighted,9,35,milligram,per 100g edible portion,weighted,9,250,milligram,per 100g edible portion,weighted,9,11,milligram,per 100g edible portion,weighted,9,37,milligram,per 100g edible portion,weighted,9,5.5,milligram,per 100g edible portion,weighted,9,0.9,microgram,per 100g edible portion,weighted,9,0.7,milligram,per 100g edible portion,weighted,9,TRUE
841,4760,1001510,"Bauernbratwurst, roh",Schweinsbratwurst,"Saucisse à rôtir de porc, crue",,"Salsiccia da arrostire di maiale, cruda",,"Bratwurst, fried sausage, pork, raw",,Fleisch- und Wurstwaren/Rohwurstware,Produits carnés et charcuterie/Produits de charcuterie crus,Prodotti carnei e insaccati/Insaccati crudi,Sausages and cold meats/Raw sausage products,,1010,kilojoule,per 100g edible portion,weighted,Computed value,245,kilocalorie,per 100g edible portion,weighted,Computed value,16.9,gram,per 100g edible portion,weighted,Computed value,0.1,gram,per 100g edible portion,weighted,Computed value,58.7,gram,per 100g edible portion,weighted,Computed value,0,gram,per 100g edible portion,weighted,Computed value,0,gram,per 100g edible portion,weighted,Computed value,0.2,gram,per 100g edible portion,weighted,Computed value,0,gram,per 100g edible portion,weighted,Computed value,19,gram,per 100g edible portion,weighted,Computed value,60,milligram,per 100g edible portion,weighted,Computed value,9,gram,per 100g edible portion,weighted,Computed value,7.1,gram,per 100g edible portion,weighted,Computed value,2.1,gram,per 100g edible portion,weighted,Computed value,0,retinol equivalent,per 100g edible portion,weighted,Computed value,0,retinol equivalent,per 100g edible portion,weighted,Computed value,0,beta-carotene equivalent,per 100g edible portion,weighted,Computed value,0,microgram,per 100g edible portion,weighted,Computed value,0.68,milligram,per 100g edible portion,weighted,Computed value,0.18,milligram,per 100g edible portion,weighted,Computed value,0.42,milligram,per 100g edible portion,weighted,Computed value,1.5,microgram,per 100g edible portion,weighted,Computed value,4,milligram,per 100g edible portion,weighted,Computed value,2.5,microgram,per 100g edible portion,weighted,Computed value,0.52,milligram,per 100g edible portion,weighted,Computed value,0,milligram,per 100g edible portion,weighted,Computed value,0,microgram,per 100g edible portion,weighted,Computed value,0.46,alpha-tocopherol equivalent,per 100g edible portion,weighted,Computed value,1530,milligram,per 100g edible portion,weighted,Computed value,310,milligram,per 100g edible portion,weighted,Computed value,2270,milligram,per 100g edible portion,weighted,Computed value,2.9,milligram,per 100g edible portion,weighted,Computed value,20,milligram,per 100g edible portion,weighted,Computed value,190,milligram,per 100g edible portion,weighted,Computed value,0.9,milligram,per 100g edible portion,weighted,Computed value,1.3,microgram,per 100g edible portion,weighted,Computed value,1.5,milligram,per 100g edible portion,weighted,Computed value,TRUE
